,sample,ratio,anneal,tbp_frac,Quality,state,image,group,ratio_step
200,50,0.7980249489998078,200,0.0895445134575576,0.23326817546647205,after,full,2,0.8
204,51,1.0152739199762963,50,0.08125952260030468,0.3689037058603665,after,full,2,1.0
208,52,1.0341565985260124,150,0.08549222797927533,0.6621269595697927,after,full,2,1.0
212,53,1.0389583118945591,250,0.08105317501290787,0.5918626986727442,after,full,2,1.0
216,54,0.0,0,0.22376237623762332,0.4216577010899884,after,full,3,0.0
220,55,0.0,100,0.21992954202315185,0.24130946737790035,after,full,3,0.0
224,56,0.0,200,0.21810905452726406,0.2955089762563939,after,full,3,0.0
228,57,0.18851579575532298,50,0.21916411824668536,0.2358708038683171,after,full,3,0.2
232,58,0.18721853045192385,150,0.21910112359550504,0.5230229837242919,after,full,3,0.2
236,59,0.19001076637987005,250,0.22148337595907872,0.5131858398748116,after,full,3,0.2
240,60,0.3988763897382754,0,0.22108495394063546,0.17996549185962699,after,full,3,0.4
244,61,0.4027786048222625,100,0.2226782965623401,0.4696125346691469,after,full,3,0.4
248,62,0.380540106486159,200,0.18700475435816044,0.6794311689243288,after,full,3,0.4
252,63,0.5972792982941612,50,0.274606299212599,0.24812877122515245,after,full,3,0.6000000000000001
256,64,0.5932303243812603,150,0.2204016913319237,0.5582586507738122,after,full,3,0.6000000000000001
260,65,0.5981356021028498,250,0.2191422594142264,0.6985030181645213,after,full,3,0.6000000000000001
264,66,0.8446294135491232,0,0.22313596491227936,0.17040497733725474,after,full,3,0.8
268,67,0.8104949335529704,100,0.21481092436974836,0.2784657503032814,after,full,3,0.8
272,68,0.8090642842733017,200,0.2263759086188996,0.3004387127660701,after,full,3,0.8
276,69,1.0383318578859666,50,0.2359550561797757,0.14886333543868008,after,full,3,1.0
280,70,1.0337492713902028,150,0.22187662001036865,0.13531656726263466,after,full,3,1.0
284,71,1.0408645122916946,250,0.22029442691903287,0.12803697446867338,after,full,3,1.0
288,72,0.0,50,0.0,0.2023387528783845,after,full,3,0.0
292,73,0.0,150,0.0,0.19906326702735186,after,full,3,0.0
296,74,0.0,250,0.0,0.28335084655554965,after,full,3,0.0
300,75,0.1889552173144243,0,0.0,0.2416856748750433,after,full,3,0.2
304,76,0.18605530102498635,100,0.0,0.8088505101015631,after,full,3,0.2
308,77,0.1865585730917365,200,0.0,0.8928102707723156,after,full,3,0.2
312,78,0.37984844294375697,50,0.0,0.4833161507520582,after,full,3,0.4
